 Tanana Loop University of Alaska Fairbanks Fairbanks, AK 99709
 1909 Spenard Rd Anchorage, AK 99503
 1157 S. 7th St Sierra Vista, AZ 85635
 9300 North Snow Bowl Road Flagstaff, AZ 86001
 19250 N 16th St. Phoenix, AZ 85022
 College Dr. and Jagerson Ave. Mohave Community College Kingman, AZ 86409
 16875 Canyon Trails Blvd Goodyear, AZ 85338
 250 East Viola Rd. Casa Grande, AZ 85122
 W Coldwater Ranch Dr Peoria, AZ 85383
 10215 N. Saguaro Blvd. Fountain Hills, AZ 85268
 16002 N 31st Dr Phoenix, AZ 85053
 Hualapai Mountain Rd. Kingman, AZ 86401
 1455 S. Harris Mesa, AZ 85204
 3000 Spence Springs Rd Prescott, AZ 86305
 1415 S Westwood Fiesta Lakes Golf Course Mesa, AZ 85210
 2001 Detroit Ave. Kingman, AZ 86401
 2446 Fort Tuthill Loop Flagstaff, AZ 86005
 12925 N. Saguaro Blvd. Fountain Hills, AZ 85268
 32 W. Country Club Dr. #100 Snowflake Municipal Golf Course Snowflake, AZ 85937
 1141 E. Guadalupe Rd Gilbert, AZ 85234
 5674 E. Hunt Hwy Florence, AZ 85132
 Historic Hwy 66 Peach Springs, AZ 86434
 Beachcomber Blvd. and McCulloch Blvd. Lake Havasu, AZ 86403
 1554 E. Omega Dr San Tan Valley, AZ 85143
 7500 E. Juniper Dr. Tucson, AZ 85730
 1500 Golf Course Rd Holbrook, AZ 86025
 E Florida St and N 7th St Holbrook, AZ 86025
 759 S. White Mountain Rd Show Low, AZ 85901
 2802 E Devonshire Ave Phoenix, AZ 85016
 7805 N. Coachline Blvd Marana, AZ 85743
 E. Marbella Blvd. Gilbert, AZ 85298
 45725 W Honeycutt Ave Maricopa, AZ 85138
 Roosevelt St Scottsdale, AZ 85257
 1650 N Turquoise Dr Flagstaff, AZ 86001
 247 Meadview Blvd. Meadview, AZ 86444
 5700 S Val Vista Dr Chandler, AZ 85249
 801 N Mill Ave Phoenix (Tempe), AZ 85282
 3400 Hwy. 95 Mohave Community College Bullhead City, AZ 86442
 Pine Knoll Dr. Flagstaff, AZ 86001
 475 S. Lake Powell Blvd. Coconino Community College Page, AZ 86040
 McQueen Rd. and Ocotillo Rd. Chandler, AZ 85286
 5910 N Oracle Rd Tucson, AZ 85704
